CLASS,survived,sex,age
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Child
3rd,No,male,Child
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Child
3rd,Yes,female,Adult
3rd,Yes,female,Child
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Child
3rd,No,male,Child
3rd,No,female,Child
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Child
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,Yes,male,Child
3rd,Yes,female,Child
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Child
3rd,No,male,Adult
3rd,No,female,Child
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,Yes,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,Yes,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,female,Adult
3rd,No,female,Adult
3rd,No,male,Adult
3rd,No,male,Adult
3rd,No,male,Adult
